SAE Chapter Name (217 DB),Matched Institution (1440 DB),Match Score,Link 1,Link 2,Link 3
Mississippi State University,Mississippi State University,100,https://www.greeks.msstate.edu/,https://www.greeks.msstate.edu/,https://www.greekrank.com/uni/98/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Michigan,NO MATCH,88,,,
Simpson College,Simpson College,100,https://simpson.edu/life-at-simpson/ways-to-get-involved/greek-life/,https://events.simpson.edu/group/sae,https://events.simpson.edu/group/sae
University of Washington,University of Mary Washington,91,https://students.umw.edu/studentactivities/sae-guidelines/greek-life/,https://students.umw.edu/studentactivities/sae-guidelines/greek-life/,https://catalog.umw.edu/student-life/student-activities-organizations/
Indiana University Bloomington,Indiana University-Bloomington,100,https://www.greekrank.com/uni/71/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/71/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/71/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Dartmouth College,Dartmouth College,100,https://www.usatoday.com/story/college/2016/02/08/sae-booted-off-dartmouth-suspended-by-national-organization/37412251/,https://www.usatoday.com/story/college/2016/02/08/sae-booted-off-dartmouth-suspended-by-national-organization/37412251/,https://www.usatoday.com/story/college/2016/02/08/sae-booted-off-dartmouth-suspended-by-national-organization/37412251/
Millikin University,Millikin University,100,https://millikin.edu/sigma-alpha-epsilon,https://millikin.edu/sigma-alpha-epsilon,https://saeildmu.wixsite.com/saemillikin/about
University of South Dakota,University of South Dakota,100,https://www.usd.edu/Student-Life/Activities-and-Involvement/Sorority-and-Fraternity-Life,https://www.usd.edu/Student-Life/Activities-and-Involvement/Sorority-and-Fraternity-Life,https://www.usd.edu/Student-Life/Activities-and-Involvement/Sorority-and-Fraternity-Life
Kansas State University,Kansas State University,100,https://saeksu.net/,https://saeksu.net/,https://saeksu.net/
University of Pittsburgh,NO MATCH,83,,,
Washington State University,Washington State University,100,https://www.facebook.com/SigmaAlphaEpsilonWSU/,https://www.facebook.com/SigmaAlphaEpsilonWSU/,https://www.sae.net/chapter/washington-state-university-washington-beta/
Oregon State University,Oregon State University,100,https://saeoregonstate.com/,https://saeoregonstate.com/,https://saeoregonstate.com/
University of Wyoming,University of Wyoming,100,https://www.uwyo.edu/sae/,https://www.uwyo.edu/sae/,https://www.uwyo.edu/sae/
Colorado State University,Colorado Mesa University,90,https://www.coloradomesa.edu/student-life/clubs-organizations/greek-life/fraternities.html,https://www.coloradomesa.edu/student-life/clubs-organizations/greek-life/fraternities.html,https://www.coloradomesa.edu/student-life/clubs-organizations/greek-life/fraternities.html
University of Arizona,University of Arizona,100,https://greek.arizona.edu/sigma-alpha-epsilon,https://greek.arizona.edu/sigma-alpha-epsilon,https://www.greekrank.com/uni/67/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
"University of Nevada, Reno",University of Nevada-Reno,100,https://www.greekrank.com/uni/347/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/347/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/347/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of New Hampshire,NO MATCH,87,,,
San Jose State,NO MATCH,72,,,
Florida State University,Florida State University,100,https://www.fsuifc.com/chapter-profiles/sigmaalphaepsilon,https://www.fsuifc.com/chapter-profiles/sigmaalphaepsilon,https://www.greekrank.com/uni/15/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Willamette University,Willamette University,100,https://www.greekrank.com/uni/602/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/602/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/602/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Westminster College,Westminster College,100,https://www.wcmo.edu/student-life/fraternity-and-sorority-life/interfraternity/sae.html,https://www.wcmo.edu/student-life/fraternity-and-sorority-life/interfraternity/sae.html,https://www.wcmo.edu/student-life/fraternity-and-sorority-life/interfraternity/sae.html
San Diego State University,San Diego State University,100,https://www.greekrank.com/uni/69/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/69/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/69/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Fresno State,NO MATCH,53,,,
Florida Southern College,Florida Southern College,100,https://www.flsouthern.edu/campus-life/clubs-and-more/greek-life,https://www.greekrank.com/uni/174/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/174/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Western Kentucky University,Western Kentucky University,100,https://www.wku.edu/wkugreeks/ifc/sigmaalphaepsilon.php,https://www.wku.edu/wkugreeks/ifc/sigmaalphaepsilon.php,https://www.greekrank.com/uni/112/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
CSU Los Angeles,NO MATCH,67,,,
Kettering University,Kettering University,100,https://www.kettering.edu/life-at-kettering/clubs-organizations/fraternity-and-sorority-life,https://www.kettering.edu/life-at-kettering/clubs-organizations/fraternity-and-sorority-life,https://www.kettering.edu/life-at-kettering/clubs-organizations/fraternity-and-sorority-life
University of Northern Iowa,University of Northern Iowa,100,https://www.northerniowan.com/21641/showcase/fraternity-house-for-sale/,https://www.northerniowan.com/21641/showcase/fraternity-house-for-sale/,https://www.northerniowan.com/21641/showcase/fraternity-house-for-sale/
University of Southern Mississippi,University of Southern Mississippi,100,https://www.usm.edu/housing-residence-life/housing-options/sigma-alpha-epsilon.php,https://www.usm.edu/housing-residence-life/housing-options/sigma-alpha-epsilon.php,https://www.southernmissifc.com/meet-our-chapters
Northern Illinois University,Northern Illinois University,100,https://www.greekrank.com/uni/244/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/244/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/244/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Bradley University,Bradley University,100,https://www.greekrank.com/uni/182/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-948977/,https://www.greekrank.com/uni/182/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-948977/,https://www.greekrank.com/uni/182/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-948977/
Wichita State University,Wichita State University,100,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php
Ball State University,Ball State University,100,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters,https://www.bsu.edu/campuslife/fraternity-and-sorority-life/ball-state-chapters
Randolph‑Macon College,Randolph-Macon College,100,https://www.rmc.edu/campus-life/fraternity-sorority-life/,https://www.rmc.edu/campus-life/fraternity-sorority-life/,https://www.rmc.edu/campus-life/fraternity-sorority-life/
CSU Northridge,NO MATCH,48,,,
CSU Sacramento,NO MATCH,56,,,
University of Louisiana at Lafayette,University of Louisiana at Lafayette,100,https://www.greekrank.com/uni/498/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/498/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/498/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of South Florida,University of South Florida,100,https://www.greekrank.com/uni/36/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/36/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/36/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Harvard University Extension,NO MATCH,78,,,
University of Houston,University of Houston,100,https://www.uh.edu/cfsl/prospective-members/fraternities/,https://www.uh.edu/cfsl/prospective-members/fraternities/,https://www.uh.edu/cfsl/prospective-members/fraternities/
DePaul University,DePaul University,100,https://dehub.depaul.edu/SAE/,https://dehub.depaul.edu/SAE/,https://dehub.depaul.edu/SAE/
University of Evansville,University of Evansville,100,https://www.greekrank.com/uni/336/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/336/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/336/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Ripon College,NO MATCH,86,,,
Creighton University,Creighton University,100,https://cuinvolved.creighton.edu/organization/SAECreighton,https://cuinvolved.creighton.edu/organization/SAECreighton,https://cuinvolved.creighton.edu/organization/SAECreighton
"California State University, Fullerton",California State University-Fullerton,100,http://www.saecalpi.com/,http://www.saecalpi.com/,https://www.sae.net/chapter/california-state-university-fullerton-california-pi/
University of Hartford,University of Hartford,100,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx
Christian Brothers University,NO MATCH,81,,,
