Institution,Query,Link 1,Link 2,Link 3
University of California-Davis,University of California-Davis SNU frat,http://sigmanudavis.com/,https://www.greekrank.com/uni/316/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/316/fraternity/SNU-Sigma-Nu/92/rating/
The University of Montana,The University of Montana SNU frat,https://www.umt.edu/fsi/our-chapters/fraternities.php,https://www.umt.edu/fsi/our-chapters/fraternities.php,https://www.umt.edu/fsi/our-chapters/fraternities.php
University of Hartford,University of Hartford SNU frat,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx,https://www.hartford.edu/student-life/clubs-activities/greek-life/fraternities.aspx
University of Miami,University of Miami SNU frat,https://www.greekrank.com/uni/33/fraternities/,https://www.greekrank.com/uni/33/fraternities/,https://www.greekrank.com/uni/33/fraternities/
Eastern New Mexico University-Main Campus,Eastern New Mexico University-Main Campus SNU frat,https://www.enmu.edu/greyhound-life/student-involvement/greek-life,https://www.greekrank.com/uni/501/fraternities/byname/,https://www.greekrank.com/uni/501/fraternities/byname/
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor SNU frat,https://fsl.umich.edu/node/832,https://fsl.umich.edu/node/832,https://www.greekrank.com/uni/62/fraternity/SNU-Sigma-Nu/92/rating/
The University of the South,The University of the South SNU frat,https://new.sewanee.edu/campus-life/connecting/greek-life/greek-organizations/,https://www.greekrank.com/uni/453/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/453/fraternity/SNU-Sigma-Nu/92/rating/
Washington and Lee University,Washington and Lee University SNU frat,https://www.greekrank.com/uni/50/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/50/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/50/fraternity/SNU-Sigma-Nu/92/rating/
Washington University in St Louis,Washington University in St Louis SNU frat,https://www.greekrank.com/uni/380/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/380/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/380/fraternity/SNU-Sigma-Nu/92/rating/
The University of Texas at Austin,The University of Texas at Austin SNU frat,https://deanofstudents.utexas.edu/sfl/chapters.php,https://deanofstudents.utexas.edu/sfl/chapters.php,https://www.greekrank.com/uni/65/fraternities/
University of Central Oklahoma,University of Central Oklahoma SNU frat,https://www.greekrank.com/uni/465/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/465/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/465/fraternity/SNU-Sigma-Nu/92/rating/
University of South Florida,University of South Florida SNU frat,https://www.usf.edu/student-affairs/involvement/fraternity-and-sorority-life/index.aspx,https://www.usf.edu/student-affairs/involvement/fraternity-and-sorority-life/index.aspx,https://www.usf.edu/student-affairs/involvement/fraternity-and-sorority-life/index.aspx
The University of Texas at Arlington,The University of Texas at Arlington SNU frat,https://www.uta.edu/student-affairs/fsl,https://www.uta.edu/student-affairs/fsl,https://www.greekrank.com/uni/363/fraternities/
Southern Methodist University,Southern Methodist University SNU frat,https://www.smu.edu/studentaffairs/fraternity-sorority-life,https://www.smu.edu/studentaffairs/fraternity-sorority-life,https://www.smu.edu/studentaffairs/fraternity-sorority-life
Ashland University,Ashland University SNU frat,https://www.ashland.edu/fraternity-and-sorority-life,https://www.ashland.edu/fraternity-and-sorority-life,https://www.ashland.edu/fraternity-and-sorority-life
