Institution,Query,Link 1,Link 2,Link 3
Northern Michigan University,Northern Michigan University Delta_Chi frat,https://nmu.edu/studentenrichment/greek-life,https://en.wikipedia.org/wiki/List_of_Delta_Chi_chapters,https://en.wikipedia.org/wiki/List_of_Delta_Chi_chapters
University of South Florida,University of South Florida Delta_Chi frat,https://www.greekrank.com/uni/36/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/36/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/36/fraternity/D-Chi-Delta-Chi/46/rating/
University of Montevallo,University of Montevallo Delta_Chi frat,https://www.montevallo.edu/campus-life/student-life/greek-life/recruitment-information/,https://www.montevallo.edu/campus-life/student-life/greek-life/panhellenic-council/,https://www.greekrank.com/uni/469/topic/127727/pike-and-delta-chi/
Southern Methodist University,Southern Methodist University Delta_Chi frat,https://www.smu.edu/studentaffairs/fraternity-sorority-life,https://www.smu.edu/studentaffairs/fraternity-sorority-life,https://www.smu.edu/studentaffairs/fraternity-sorority-life
Ferris State University,Ferris State University Delta_Chi frat,https://www.greekrank.com/uni/166/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/166/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/166/fraternity/D-Chi-Delta-Chi/46/rating/
Texas A & M University-Kingsville,Texas A & M University-Kingsville Delta_Chi frat,https://www.tamuk.edu/greeks/ifc/delta-chi.html,https://tamukdeltachi.wixsite.com/legacy/about,https://calendar.tamuk.edu/event/delta-chi-meet-the-brothers
University of Nebraska at Kearney,University of Nebraska at Kearney Delta_Chi frat,https://www.unk.edu/offices/student_life/greek_affairs/index.php,https://www.unk.edu/offices/student_life/greek_affairs/index.php,https://unknews.unk.edu/2024/08/09/unks-delta-tau-delta-fraternity-receives-north-american-award-for-overall-excellence/
Columbia College,Columbia College Delta_Chi frat,https://www.cc-seas.columbia.edu/reslife/fsl/chapters,https://en.wikipedia.org/wiki/List_of_Delta_Chi_chapters,https://en.wikipedia.org/wiki/List_of_Delta_Chi_chapters
University of Central Missouri,University of Central Missouri Delta_Chi frat,https://ucmdeltachi.com/,https://www.greekrank.com/uni/557/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/557/fraternity/D-Chi-Delta-Chi/46/rating/
High Point University,High Point University Delta_Chi frat,https://www.highpoint.edu/fraternity-sorority-life/delta-chi/,https://www.highpoint.edu/fraternity-sorority-life/delta-chi/,https://www.highpoint.edu/fraternity-sorority-life/delta-chi/
University of South Carolina Aiken,University of South Carolina Aiken Delta_Chi frat,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/
University of California-Berkeley,University of California-Berkeley Delta_Chi frat,https://www.greekrank.com/uni/331/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/331/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/331/fraternity/D-Chi-Delta-Chi/46/rating/
