Chapter,Charter date and range,Institution,City,State or province,Status,Reference
Upsilon Mu,"May 23, 1987 – March 1, 2006",University of Montana,Missoula,MT,Inactive,
Phi Chi,"November 14, 1987 – May 17, 2006","California State University, Fresno",Fresno,CA,Inactive,[bw]
Sigma Lambda,"April 9, 1988 – February 1995",University of Utah,Salt Lake City,UT,Inactive,
Sigma Beta,"May 6, 1989 – November 14, 2004",San Jose State University,San Jose,CA,Inactive,[bx]
Phi Pi,"March 31, 1990 – 2013",Villanova University,Villanova,PA,Inactive,
Lambda Beta,"October 13, 1990 – August 1, 1997;
October 13, 2012 – 2023",California State University Long Beach,Long Beach,CA,Inactive,
Sigma Upsilon,"November 10, 1990 – June 1996;
August 29, 2020",Texas State University,San Marcos,TX,Active,[by]
Gamma Chi,"October 10, 1992 – September 20, 2003","University of California, Santa Barbara",Santa Barbara,CA,Inactive,
Gamma Nu,"November 14, 1992 – September 17, 1999",Aldelphi University,Garden City,NY,Inactive,
Nu Chi,"February 20, 1993 – January 26, 2006","California State, Northridge",Northridge,CA,Inactive,
Chi Lambda,"May 15, 1993 – January 17, 2004;
November 7, 2009","University of California, San Diego",San Diego,CA,Active,
Sigma Alpha,"November 13, 1993 – spring 2009;
September 26, 2020",University of Texas at San Antonio,San Antonio,TX,Active,
Omega Phi,"February 19, 1994 – May 19, 2025",University of Central Florida,Orlando,FL,Inactive,
Delta Iota,"November 5, 1994",Drake University,Des Moines,IA,Active,
Mu Chi,"November 19, 1994",James Madison University,Harrisonburg,VA,Active,
Pi Upsilon,"November 11, 1995 – November 24, 1997",Princeton University,Princeton,NJ,Inactive,
Epsilon Iota,"April 15, 2000",University of Evansville,Evansville,IN,Active,
Beta Sigma,"February 24, 2001",Ball State University,Muncie,IN,Active,
Kappa Chi,"November 3, 2001",William Woods University,Fulton,MO,Active,
Nu Sigma,"April 6, 2002",North Carolina State University,Raleigh,NC,Active,
Sigma Phi,"November 20, 2004 – 2018",Florida International University,University Park,FL,Inactive,
Upsilon Tau,"August 27, 2005 – 2024",University of Toledo,Toledo,OH,Inactive,
Omega Chi,"May 3, 2008",Chapman University,Orange,CA,Active,
Psi Mu,"February 28, 2009",Missouri State University,Springfield,MO,Active,
Nu Kappa,"April 25, 2009 – 2019",University of Nebraska at Kearney,Kearney,NE,Inactive,
Nu Delta,"October 17, 2009 – 2022",University of Delaware,Newark,DE,Inactive,
Pi Chi,"March 3, 2010",University of North Carolina Wilmington,Wilmington,NC,Active,
Lambda Chi,"March 27, 2010 – February 2018",College of Charleston,Charleston,SC,Inactive,
Chi Eta,"May 1, 2010",Western Kentucky University,Bowling Green,KY,Active,
Pi Nu,"October 9, 2010 – 2024",East Carolina University,Greenville,NC,Inactive,[bz]
Chi Rho,"October 16, 2010",Pennsylvania Western University,California,PA,Active,[ca]
Beta Nu,"November 6, 2010 – 2024",Appalachian State University,Boone,NC,Inactive,
Nu Tau,2010–February 2023,University of North Texas,Denton,TX,Inactive,[cb]
Gamma Third,"February 25, 2011 – June 2019",Vanderbilt University,Nashville,TN,Inactive,[cc]
Tau Delta,"March 4, 2012",University of Texas at Dallas,Richardson,TX,Active,
Mu Beta,"April 21, 2012 – 2025",Coastal Carolina University,Conway,SC,Inactive,
Sigma Kappa,"March 9, 2013 – December 2020",University of Connecticut,Mansfield,CT,Inactive,[16][17][cd]
Epsilon Rho,"April 20, 2013","Embry–Riddle Aeronautical University, Daytona Beach",Daytona Beach,FL,Active,
Lambda Pi,"November 2, 2013",DePaul University,Chicago,IL,Active,
Eta Mu,"March 8, 2014 – 2021",University of Massachusetts Amherst,Amherst,MA,Inactive,
Rho Nu,"April 5, 2014 – 2020",Rowan University,Glassboro,NJ,Inactive,
Nu Upsilon,"April 12, 2014 – 2019",Nova Southeastern University,Fort Lauderdale,FL,Inactive,
Alpha Pi,"May 10, 2014",University of San Diego,San Diego,CA,Active,
Omega Nu,"September 6, 2014 – 2022",Ohio Northern University,Ada,OH,Inactive,
Mu Pi,"November 15, 2014",Virginia Commonwealth University,Richmond,VA,Active,
Sigma Eta,"March 14, 2015",Sam Houston State University,Huntsville,TX,Active,
Omicron Chi,"March 28, 2015 – 2021",Oklahoma City University,Oklahoma City,OK,Inactive,
Alpha Psi,"April 18, 2015 – 2022",Austin Peay State University,Clarksville,TN,Inactive,
Eta Chi,"March 5, 2016 – 2022",Quinnipiac University,Hamden,CT,Inactive,
Iota Pi,"April 2, 2016",Indiana University Indianapolis,Indianapolis,IN,Active,[ce]
Alpha Rho,"April 9, 2016 – 2023",University of Central Arkansas,Conway,AR,Inactive,
Mu Lambda,"September 24, 2016",University of South Carolina,Columbia,SC,Active,
Gamma Rho,"October 22, 2016 – 2023",Grand Valley State University,Allendale,MI,Inactive,
Mu Phi,"October 29, 2016",University of Montevallo,Monevallo,AL,Active,
Nu Alpha,"November 5, 2016",Northern Arizona University,Flagstaff,AZ,Active,
Chi Kappa,"November 19, 2016",West Chester University,West Chester,PA,Active,
Alpha Beta,"April 1, 2017",University of Alabama at Birmingham,Birmingham,AL,Active,
Beta Psi,"April 8, 2017",Boise State University,Boise,ID,Active,
Nu Iota,"April 23, 2017",Illinois State University,Normal,IL,Active,
Delta Chi,"May 19, 2018","University of California, Davis",Davis,CA,Active,
Nu Eta,"October 12, 2018",Northeastern University,Boston,MA,Active,
Delta Mu,"October 27, 2018",Wayne State University,Detroit,MI,Active,
Rho Tau,"November 3, 2018",College of William and Mary,Williamsburg,VA,Active,
Tau Beta,"October 17, 2020",University of Tampa,Tampa,FL,Active,
Chi Nu,"May 2, 2021",Christopher Newport University,Newport News,VA,Active,
Sigma Omega,"April 22, 2023",Seton Hall University,South Orange,NJ,Active,
Chi Tau,"April 20, 2024",Texas A&M University Corpus Christi,Corpus Christi,TX,Active,
,,Loyola University New Orleans,New Orleans,LA,Colony,[18][19][cf]
,,George Washington University,Washington,DC,Colony,[19][cg]
